Ordem_Adicao,Latitude,Longitude,Conectada_A,Zonas_Cobertas,Ganho_Demanda,Demanda_Total,Tempo_Busca_Segundos,Tempo_Acumulado_Segundos
1,-23.593903758558557,-46.67496956149109,Estação Cidade Jardim,5,48282.54672954045,2085485.3979925558,325.19851303100586,325.19851303100586
2,-23.572944670528866,-46.62453124462721,Estação Japão-Liberdade,6,39972.9688401164,2125458.366832672,278.44285011291504,603.6413631439209
3,-23.625427811737026,-46.73637436414027,Estação Vila das Belezas,3,34121.839050530456,2159580.2058832026,288.22335386276245,891.8647170066833
4,-23.663506007117117,-46.64111111,Terminal Intermodal Jabaquara,3,31990.525781474542,2191570.731664677,286.4961521625519,1178.3608691692352
5,-23.65494744855856,-46.65729368490625,Terminal Intermodal Jabaquara,4,32187.116210098844,2223757.847874776,296.2631838321686,1474.6240530014038
6,-23.616768298262976,-46.621839844566004,Estação Alto do Ipiranga,5,31423.70217171125,2255181.5500464872,297.9472918510437,1772.5713448524475
7,-23.657368787117118,-46.74571694,Estação Vila das Belezas,2,29983.765770660713,2285165.315817148,303.7914140224457,2076.362758874893
8,-23.566574219471132,-46.5933035159421,Terminal Intermodal Vila Prudente,3,29720.54906796897,2314885.864885117,298.6776599884033,2375.0404188632965
9,-23.55063814036036,-46.55681529587067,Estação Tatuapé,3,30285.677613070235,2345171.542498187,300.9001281261444,2675.940546989441
10,-23.57730480036036,-46.67403354420363,Estação Faria Lima,4,29328.386575136334,2374499.9290733235,303.2143499851227,2979.1548969745636
11,-23.631693111441443,-46.76189875606263,Estação Vila das Belezas,3,29300.32146662334,2403800.250539947,301.7707242965698,3280.9256212711334
12,-23.482031539639642,-46.63723157680301,Estação Jardim São Paulo-Ayrton Senna,3,29067.319065331947,2432867.569605279,304.76671409606934,3585.6923353672028
13,-23.676369897117116,-46.76817778,Estação Capão Redondo,5,28897.079567038454,2461764.6491723172,309.50768208503723,3895.20001745224
14,-23.610583417117116,-46.7351381,Terminal Intermodal Vila Sônia,6,28617.283749689814,2490381.932922007,315.81068897247314,4211.010706424713
15,-23.619141975675674,-46.75131625131783,Nova estação 14,3,31147.438889389858,2521529.371811397,321.3186688423157,4532.329375267029
16,-23.640123590295584,-46.66663731010318,Nova estação 5,5,27137.86780533567,2548667.2396167326,321.22885489463806,4853.558230161667
17,-23.680623124234234,-46.64111111,Nova estação 4,3,27001.94136293605,2575669.1809796686,319.37604093551636,5172.934271097183
18,-23.672064565675676,-46.65729580272932,Nova estação 4,4,26861.312833157368,2602530.493812826,326.6303768157959,5499.564647912979
19,-23.550711988558557,-46.431773371415744,Estação Guaianases,3,26784.773252938874,2629315.267065765,325.8070800304413,5825.37172794342
20,-23.61344204144144,-46.717294560905295,Estação Morumbi,3,26246.389232067857,2655561.6562978327,323.0482060909271,6148.4199340343475
RESUMO,,,,,618358.8050348174,2655561.6562978327,6152.480057001114,6152.480057001114
